




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13821)	upload_1 (2608)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	222	17	41.89	-	.41	7.49E-05	1.54E-02
mitochondrion organization (GO:0007005)	239	18	45.10	-	.40	3.04E-05	8.78E-03
proteasomal protein catabolic process (GO:0010498)	234	17	44.16	-	.39	1.71E-05	6.36E-03
ubiquitin-dependent protein catabolic process (GO:0006511)	312	22	58.87	-	.37	3.13E-07	3.48E-04
modification-dependent protein catabolic process (GO:0019941)	316	22	59.63	-	.37	2.35E-07	3.66E-04
protein catabolic process (GO:0030163)	348	24	65.67	-	.37	3.65E-08	9.48E-05
proteolysis involved in protein catabolic process (GO:0051603)	337	23	63.59	-	.36	5.01E-08	9.77E-05
spermatid development (GO:0007286)	127	7	23.96	-	.29	2.06E-04	2.86E-02
detection of stimulus involved in sensory perception (GO:0050906)	131	7	24.72	-	.28	1.48E-04	2.26E-02
peptide biosynthetic process (GO:0043043)	310	16	58.50	-	.27	8.29E-10	3.23E-06
translation (GO:0006412)	304	15	57.36	-	.26	5.32E-10	4.15E-06
detection of chemical stimulus (GO:0009593)	168	6	31.70	-	.19	3.12E-07	4.05E-04
detection of chemical stimulus involved in sensory perception (GO:0050907)	106	3	20.00	-	.15	1.73E-05	6.13E-03
aerobic respiration (GO:0009060)	110	3	20.76	-	.14	1.23E-05	5.98E-03
cilium movement (GO:0003341)	81	2	15.28	-	.13	1.25E-04	2.03E-02
cytoplasmic translation (GO:0002181)	118	2	22.27	-	.09	4.66E-07	4.53E-04
ATP synthesis coupled electron transport (GO:0042773)	71	1	13.40	-	.07	1.24E-04	2.05E-02
oxidative phosphorylation (GO:0006119)	78	1	14.72	-	.07	3.45E-05	9.27E-03
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	67	0	12.64	-	 < 0.01	1.40E-05	6.07E-03
aerobic electron transport chain (GO:0019646)	62	0	11.70	-	 < 0.01	3.35E-05	9.33E-03
